Emotional Adjective,Emotional Category,Design Language Adjective 1,Design Language Adjective 2,Design Language Adjective 3,Design Language Adjective 4,Design Language Colour,Design Language Image
Gentle,Calm,Gentle curves,Open structures,Flowing shapes,Slender flat structures,Aqua,
Tranquil,Relaxation,Gentle curves,Open structures,Flowing shapes,Slender flat structures,Light green,
Peaceful,Serene,Gentle curves,Open structures,Flowing shapes,Slender flat structures,Green,
Comfortable,Content,Gentle curves,Open structures,Flowing shapes,Slender flat structures,Yellow Green,
Pleased,Happy,Tight curves,Open structures,Flowing shapes,Slender tall structures,Yellow,
Ecstatic,Elation,Tight curves,Open structures,Pointed shapes,Slender tall structures,Orange yellow,
Amazed,Surprise,Tight curves,Open structures,Pointed shapes,Slender tall structures,Orange,
Attentive,Alert,Tight curves,Open structures,Pointed shapes,Slender tall structures,Red Orange,
Alarmed,Fear,Tight curves,Closed structures,Pointed shapes,Dense tall structures,Teal,
Worried,Nervous,Rounded curves,Closed structures,Pointed shapes,Dense tall structures,Browny,
Enraged,Anger,Rounded curves,Closed structures,Heavy solid shapes,Dense tall structures,Red,
Repulsed,Disgust,Rounded curves,Closed structures,Heavy solid shapes,Dense low structures,Purple,
Upset,Sadness,Drooping curves,Closed structures,Heavy solid shapes,Dense low structures,Dark purple,
Gloomy,Depression,Drooping curves,Closed structures,Heavy solid shapes,Dense low structures,Dark blue,
Apathetic,Lethargy,Drooping curves,Closed structures,Heavy solid shapes,Dense low structures,Blue,
Exhausted,Fatigue,Drooping curves,Closed structures,Heavy solid shapes,Dense low structures,Light blue,
